rank ,gene,isoform
6.48529605663636,CSRNP1,T134532
6.4810643896599185,RGS12,T143444
6.474189047682242,CRTC2,T082938
6.459669818632251,SCCPDH,T092183
6.455457228437459,PAPPA,T188990
6.4517294515831916,HTATIP2,T012827
6.450007698976103,FURIN,T047900
6.4416831022395655,CYP51A1,T178087
6.4410519747854185,CPXM1,T099423
6.420869762702911,CDA,T089021
6.417713276576188,KDM6B,T064393
6.4068442524154685,TGFB1,T074600
6.404473048797841,MAP3K8,T004056
6.403162233220801,EBP,T200051
6.3993113404352275,LIPN,T007820
6.393129226763884,STX11,T160169
6.349671257293314,CTGF,T159048
6.3308650745923405,FPGS,T189851
6.32872734808999,SCARB1,T022667
6.326543024370334,PEAR1,T083829
6.323337747483651,PEPD,T072776
6.3112591074493,RAET1E,T160555
6.288021784328871,PPP1R2,T133361
6.2818013597416655,UROS,T002229
6.268104450036591,LPGAT1,T089358
6.259160927514279,LRG1,T075395
6.251626844631299,ARID5A,T126414
6.2396601388108515,SERPINA3,T041807
6.219655674562622,TGFB1,T074609
6.213785391088947,LYRM1,T049694
6.2134033767249,ODF2,T190099
6.20459046893747,BZW1P1,T131767
6.204038493625998,MRAS,T129501
6.198167773752341,EVI2B,T056979
6.181364105383782,JAK1,T096105
6.17816332427387,C3orf23,T134870
6.1734401939540176,ACOT7,T096023
6.167391949349015,DIRC2,T128238
6.167386814921621,BEGAIN,T035186
6.1578881392829485,SPRY1,T139528
6.1207329303998605,ERRFI1,T096960
6.1086195600865,CST3,T099201
6.0994843861608565,SRM,T080453
6.083814858059998,AK5,T096784
6.069112542888581,TPRA1,T128614
6.056400919785784,MRPL37,T095473
6.040287100689301,CFH,T087299
6.038003450019403,CTSD,T012366
6.030161478846948,CD55,T088850
6.0264043047810745,KLF16,T071582
6.0133182033308685,ME3,T019299
6.009538662064978,CYP4V2,T142651
5.985153652328483,EPHX1,T090419
5.984560767087941,CGREF1,T121593
5.984065123632011,ACTA2,T007882
5.979716219661441,KCNJ2,T062393
5.975543229964253,CDC42EP3,T122518
5.97518185649997,MYH9,T108303
5.968313560081482,AQP9,T044912
5.932338918003401,ANKRD32,T156790
5.923455710204999,MYO1B,T116680
5.921561574146169,PDE4D,T154902
5.9192718610932005,PTK7,T165969
5.9154825016065296,MRAS,T129504
5.911105614959942,ACIN1,T036975
5.9031386321564,ERGIC1,T152289
5.9009661365848185,FASTK,T172703
5.890966820136282,HAS2-AS1,T180287
5.885868939745089,LIMK2,T107856
5.883436677783703,"PPAN-P2RY11,p3",T069392
5.883018373305846,FOXQ1,T158982
5.881088790894671,TGFB1,T074603
5.875946125438468,QARS,T135592
5.873701735609768,FDPS,T083316
5.868457226658094,SORBS3,T183252
5.862145464300312,PCID2,T031601
5.855621484603816,ZMIZ1,T007258
5.851315683508911,ELFN1,T173420
5.844938611693715,CLU,T183891
5.8415433698263,SCARB1,T022666
5.8271797667565455,PLEKHG2,T074111
5.811656674519447,EXOC3L1,T053019
5.7971487213704,H19,T012783
5.7635620764463225,ATP2B1,T030023
5.759997978550016,HMGA1,T164911
5.759109482337498,NNMT,T009941
5.7550535683681066,CTGF,T159075
5.730019603362983,MOB3A,T072016
5.719065049829579,TMEM127,T126348
5.716734528146452,FPGS,T189856
5.703703197157678,MIR31HG,T192218
5.692362123763069,TGFB1,T074601
5.690666965159699,SLC9B2,T138554
5.684150198103398,FAM49A,T114461
5.682824863116617,NUDT4,T030368
5.68058670193138,MRAS,T129506
5.665925400623769,FDX1,T009560
5.661823034970031,HIVEP1,T158380
5.648689984880109,CTGF,T159049
5.639905028584181,CPT2,T095389
5.635430745493995,PANK3,T151890
5.6340576383067855,THAP2,T028918
5.6327588502738095,C16orf61,T054237
5.631650828362097,GSN,T189211
5.631437451691098,RFK,T194117
5.627011366616238,PPP1R12A,T029492
5.621466530318362,ARHGEF2,T083426
5.61931077524469,LRRFIP1,T120702
5.600729107905329,ZMIZ1,T007304
5.588536651620711,NR4A2,T113649
5.587665703200222,SCARA5,T183937
5.583382725002822,LAMB3,T089107
5.5821270550751505,PCSK9,T095548
5.580039238496577,PDIA4,T172367
5.57880887150589,BCL10,T097233
5.571974528575332,PNPLA8,T169658
5.563630623722999,NUS1P1,T199917
5.558606199985541,TRIM21,T014285
5.554684371690488,OSBPL11,T128485
5.5539342173178605,NFIL3,T194840
5.5486081857192895,AKR1B10,T171202
5.53772807410808,ANXA11,T007449
5.535518714112509,BCAR1,T053972
5.53155869450811,ST3GAL6,T138000
5.527774927535788,ANKRD32,T156783
5.512564232630552,CTGF,T159050
5.506994828881,H2AFY2,T006333
5.5007064357684,NFKBID,T073388
5.496577255611402,GGTA1P,T189236
5.49221352980783,IMPA2,T065815
5.4907725097222135,BRP44L,T161894
5.476005333352724,FLT1,T032366
5.44684468618816,MTCP1,T198563
5.4460263434406695,MRPL44,T119487
5.4450693456399,SLC4A2,T172696
5.426959364502244,FAM82A2,T043461
5.422775488802185,ASB1,T120803
5.4151029395076105,SCAP,T135304
5.4068734685842825,CATSPER1,T017182
5.399489871834353,HNRNPH2,T195851
5.3865710933550845,FBXW7,T140599
5.384208646132691,PXDC1,T165460
5.3784119744718,DGKD,T120316
5.367853072078098,VNN3,T159147
5.364842645242026,KIFC3,T052585
