isoform	gene
T002729	FUOM
T002730	FUOM
T002731	FUOM
T002732	FUOM
T002733	ECHS1
T002735	PAOX
T002736	PAOX
T002739	MTG1
T002740	MTG1
T002741	MTG1
T002742	MTG1
T002743	MTG1
T002780	SYCE1
T002781	SYCE1
T002787	BEND7
T002788	BEND7
T002789	PRPF18
T002790	PRPF18
T002795	FRMD4A
T002796	FRMD4A
T002797	FRMD4A
T002800	FRMD4A
T002826	FRMD4A
T002828	FRMD4A
T002834	FRMD4A
T002835	FRMD4A
T002836	FRMD4A
T002838	FRMD4A
T002861	FRMD4A
T002872	FAM107B
T002884	FAM107B
T002893	FAM107B
T002901	FAM107B
T002910	CDNF
T002911	HSPA14
T002912	HSPA14
T002913	HSPA14
T002914	HSPA14
T002915	HSPA14
T002916	HSPA14
T002920	SUV39H2
T002921	SUV39H2
T002922	SUV39H2
T002926	DCLRE1C
T002927	DCLRE1C
T002928	DCLRE1C
T002929	MEIG1
T002930	MEIG1
T002939	OLAH
T002941	ACBD7
T002942	RPP38
T002943	RPP38
T002944	RPP38
T002945	RPP38
T002946	C10orf111
T002948	RPP38
T002953	NMT2
T002954	NMT2
T002955	NMT2
T002961	FAM171A1
T002962	FAM171A1
T002963	FAM171A1
T002976	ITGA8
T002993	FAM188A
T002994	FAM188A
T003002	PTER
T003003	PTER
T003009	C1QL3
T003021	RSU1
T003022	RSU1
T003023	RSU1
T003042	CUBN
T003078	TRDMT1
T003082	TRDMT1
T003098	VIM
T003103	VIM
T003104	VIM
T003107	VIM
T003109	VIM
T003120	VIM
T003123	VIM
T003128	VIM
T003173	ST8SIA6
T003174	ST8SIA6
T003175	ST8SIA6
T003176	ST8SIA6
T003191	HACD1
T003193	STAM
T003194	STAM
T003195	STAM
T003196	STAM
T003199	STAM
T003206	ADARB2
T003209	ZMYND11
T003210	ZMYND11
T003211	ZMYND11
T003212	ZMYND11
T003213	ZMYND11
T003214	ZMYND11
T003215	ZMYND11
T003216	ZMYND11
